458,4160,4777.98,Danilo Silva
269,6774,3883.25,Sara
443,7704,425.12,Manoel
258,7526,4907.10,Terezinha
440,1840,4070.86,Marcos
368,4737,660.14,Helena
176,7566,3223.30,Sandro
241,3121,1456.21,Veronica
337,5465,1869.35,Severino
170,7164,4198.72,Camila
146,2629,4832.11,Antonio
460,3021,3809.91,Rosilene
367,6569,1674.54,Ismael
338,8277,696.58,Nicole
318,1653,1247.20,Paulo
475,1985,4542.08,Cristiane
196,1905,1150.88,Arthur
203,8461,2320.30,Sebastiana
210,2314,517.21,Reginaldo
371,1503,4684.42,Marli
164,2902,4381.15,Sidnei
245,5269,2030.12,Rosilene
318,6737,3512.85,Marlon
466,7396,754.02,Alessandra
399,3590,2446.54,Vinicios
389,7962,3180.86,Claudia
196,3097,4109.55,Everton
312,8538,4932.10,Marlene
473,3892,2292.49,Gilberto
169,5885,4716.38,Irene
443,3711,2315.79,Denis
364,1946,3700.43,Caroline
277,4735,2152.35,Pablo
402,3784,4705.02,Alessandra
248,8407,3674.16,Victor
180,3785,1335.83,Ana
418,7615,2597.85,Valmir
352,2040,2379.02,Bruna
177,7237,1728.72,Moises
178,3997,955.44,Mirian
192,5745,474.79,Celso
459,3811,1949.86,Solange
461,4223,3919.75,Emerson
140,2527,4725.25,Carolina
469,4478,1102.29,Wagner
373,6037,2119.03,Solange
278,3165,4440.14,Alan
431,2443,4341.60,Fernanda
150,4634,3050.95,Raimundo
374,2177,1417.23,Luciane
314,2949,3667.17,Joaquim
221,2479,782.06,Livia
435,2692,2475.91,Mauro
356,7649,3767.20,Vitoria
300,6595,1003.94,Elton
472,2160,1778.34,Veronica
305,8086,4067.92,Cleber
339,4557,917.95,Helena
450,5015,1556.32,Celso
313,7776,287.86,Elizabete
367,8294,2701.86,Nelson
406,6080,1992.88,Marli
311,2890,4712.31,Adilson
392,6258,4838.62,Clara
447,5992,4689.98,Ivan
264,2863,1943.76,Sebastiana
369,4768,1752.82,Moises
474,3504,2508.08,Josiane
305,7424,1021.58,Ivan
329,5076,1196.21,Teresa
353,5339,3339.29,Guilherme
452,5755,3546.56,Paula
281,4937,3093.94,Edvaldo
186,6995,890.45,Erica
386,4609,177.01,Robson
452,8379,3491.85,Teresinha
335,6981,3935.81,Vinicius
283,6154,1690.81,Sandra
271,4869,3982.09,Jean
283,3311,1632.35,Priscila
208,5261,1815.49,Joao
433,2188,3886.78,Tainara
312,2970,4524.71,Denis
224,6014,2653.55,Cintia
211,4080,1000.92,Eder
440,2620,2292.57,Maiara
218,4673,3658.56,Ricardo
474,6617,2853.49,Iara
433,2981,3341.89,Artur
411,8434,941.70,Sara
414,3549,3798.80,Ademir
179,8340,1051.80,Raiane
421,7740,2139.46,Valmir
292,3179,1257.95,Beatriz
189,2016,636.00,Hugo
410,5587,3125.97,Rafaela
370,3266,4590.56,Alessandro
141,8184,966.41,Vilma
216,5034,1517.51,Arnaldo
167,5750,4449.96,Conceicao
475,4439,3615.69,Mateus
224,6786,2739.28,Angela
446,7330,545.76,Wellington
289,3233,3203.42,Neide
276,4214,4054.41,Wanderson
140,6114,672.14,Solange
427,5178,1806.42,Denis
421,3646,827.77,Renata
383,2555,652.91,Osmar
349,5793,2514.33,Eliana
199,5105,1775.63,Murilo
173,8144,2356.84,Fabiana
158,3609,2848.30,Felipe
413,8032,1858.52,Ines
401,7426,2967.33,Bruno
404,6221,2807.72,Jenifer
236,1210,2406.95,Renato
244,3151,2432.35,Marcela
140,5645,2944.49,Eder
412,2051,2792.95,Simone
169,8608,853.61,Wilson
174,1590,1730.65,Elizabete
390,3962,528.79,Joao
176,8248,4474.56,Andreia
176,7887,4405.96,Agnaldo
259,5557,3718.06,Marilene
377,4564,3695.28,Celio
170,5274,2403.41,Carolina
246,8768,1636.20,David
160,3310,4248.37,Poliana
355,6417,2787.94,Agnaldo
299,2426,1293.58,Roberta
180,5563,307.05,Guilherme
416,4661,2860.45,Andressa
387,4718,1619.08,Cristiano
264,4129,1991.52,Tatiana
330,8531,3292.99,Fabio
275,1721,912.28,Mariana
449,1581,2887.90,Israel
442,3211,415.88,Selma
224,4058,1931.11,Wilian
334,7417,139.87,Teresa
181,3864,3763.79,Jose
417,6895,2146.31,Ingrid
325,4454,4670.92,Edson
330,7392,1838.85,Sabrina
285,8234,1979.60,Jose
428,6565,4645.50,Teresa
244,4028,2241.26,Vicente
389,7484,1049.57,Iara
247,4794,2025.05,Ivan
161,6345,2992.65,Luciana
170,4550,4803.97,Manuel
365,1517,4624.52,Roberta
248,2979,3588.38,Eder
426,2219,4813.73,Fatima
278,5975,4141.55,Ademir
456,3321,146.24,Alice
473,2702,4282.42,Gerson
476,2776,1278.60,Monica
466,1928,4693.91,Sidnei
445,8560,1240.74,Mara
265,4777,4959.85,Rafael
395,4621,1424.83,Raimunda
335,3546,2183.19,Adao
347,2894,791.34,Josefa
240,3705,795.56,Julio
397,8270,907.50,Marcela
408,2132,2294.76,Milton
479,6875,4666.06,Claudia
292,7521,4882.10,Eduardo
238,5144,1383.19,Andrea
362,6554,3357.08,Rian
179,1303,3505.08,Rosana
265,1508,3629.76,Willian
419,5287,808.36,Sandra
340,8643,939.51,Silvio
379,2581,1174.38,Marta
341,7761,3391.08,Miguel
283,3936,1087.25,Marinalva
174,5631,191.05,Antonio
331,1266,4172.96,Marinalva
417,6578,1578.35,Geraldo
165,4279,700.92,Margarida
263,7268,3460.92,Rubens
184,6133,4134.42,Regiane
149,6322,2563.81,Tiago
161,8428,2797.07,Katia
179,2028,1778.42,Manuel
150,3752,1361.72,Priscila
332,8365,1199.58,Joel
223,1223,1833.99,Josiane
